Entity;Day;Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)
Canada;2022/01/16;2.2925582
Canada;2022/01/17;2.5317497
Canada;2022/01/18;2.6531854
Canada;2022/01/19;2.9291756
Canada;2022/01/20;3.0506113
Canada;2022/01/21;3.2493243
Canada;2022/01/22;3.6136312
Canada;2022/01/23;3.735067
Canada;2022/01/24;3.6651495
Canada;2022/01/25;3.7166677
Canada;2022/01/26;3.9484992
Canada;2022/01/27;4.066255
Canada;2022/01/28;4.2465687
Canada;2022/01/29;4.147212
Canada;2022/01/30;4.1140933
Canada;2022/01/31;4.1140933
Canada;2022/02/01;4.044176
Canada;2022/02/02;3.8933012
Canada;2022/02/03;3.816024
Canada;2022/02/04;3.6430702
Canada;2022/02/05;3.5989118
Canada;2022/02/06;3.6062715
Canada;2022/02/07;3.5253143
Canada;2022/02/08;3.5694728
Canada;2022/02/09;3.4921956
Canada;2022/02/10;3.36708
Canada;2022/02/11;3.253004
Canada;2022/02/12;3.0542912
Canada;2022/02/13;3.0064528
Canada;2022/02/14;3.0358918
Canada;2022/02/15;2.8445387
Canada;2022/02/16;2.7856607
Canada;2022/02/17;2.7047036
Canada;2022/02/18;2.5648687
Canada;2022/02/19;2.494951
Canada;2022/02/20;2.2557597
Canada;2022/02/21;2.053367
Canada;2022/02/22;2.049687
Canada;2022/02/23;1.7184988
Canada;2022/02/24;1.7184988
Canada;2022/02/25;1.655941
Canada;2022/02/26;1.6228222
Canada;2022/02/27;1.7111391
Canada;2022/02/28;1.8620137
Canada;2022/03/01;1.8068156
Canada;2022/03/02;1.9503305
Canada;2022/03/03;1.7479377
Canada;2022/03/04;1.7479377
Canada;2022/03/05;1.6964196
Canada;2022/03/06;1.6007429
Canada;2022/03/07;1.4645878
Canada;2022/03/08;1.5197859
Canada;2022/03/09;1.5013865
Canada;2022/03/10;1.5639442
Canada;2022/03/11;1.4645878
Canada;2022/03/12;1.40203
Canada;2022/03/13;1.545545
Canada;2022/03/14;1.5345054
Canada;2022/03/15;1.5308255
Canada;2022/03/16;1.4425086
Canada;2022/03/17;1.4204293
Canada;2022/03/18;1.3799509
Canada;2022/03/19;1.3725911
Canada;2022/03/20;1.1076405
Canada;2022/03/21;1.1959574
Canada;2022/03/22;1.1738782
Canada;2022/03/23;1.1738782
Canada;2022/03/24;1.092921
Canada;2022/03/25;0.9935646
Canada;2022/03/26;0.93100685
Canada;2022/03/27;0.96044576
Canada;2022/03/28;0.8574095
Canada;2022/03/29;0.87948865
Canada;2022/03/30;0.82061076
Canada;2022/03/31;0.97516525
Canada;2022/04/01;1.0082841
Canada;2022/04/02;0.9567659
Canada;2022/04/03;0.9567659
Canada;2022/04/04;0.9714854
Canada;2022/04/05;0.98620486
Canada;2022/04/06;0.9714854
Canada;2022/04/07;0.9972445
Canada;2022/04/08;1.0487627
Canada;2022/04/09;1.1370795
Canada;2022/04/10;1.1260399
Canada;2022/04/11;1.2364359
Canada;2022/04/12;1.2695547
Canada;2022/04/13;1.3394723
Canada;2022/04/14;1.3357924
Canada;2022/04/15;1.2805943
